block,sid,trial,rule_type,A_stim,B_stim,rule_sequence,test_type,X_stim,Y_stim,test_sequence,match,mismatch_type,response_key,correct,rt,isi1,isi2,isi3,isi4,isi5,iti,t_fixation,t_rule1,t_rule2,t_rule3,t_test1,t_test2,t_test3,t_response
run2,001,59,ABB,star,circle,"star,circle,circle",ABA,star,rectangle,"star,rectangle,star",0,rule_order,2,1,0.4414944349991856,0.7862537100729204,0.8176913582302251,1.5,0.9566293647897204,0.8622722299703394,2.0,913.4639396001585,913.9677780000493,915.2644480001181,916.5970820002258,918.6109400000423,920.0812598001212,921.4565627002157,921.9659208003432
run3,001,60,ABB,circle,triangle,"circle,triangle,triangle",ABB,circle,triangle,"circle,triangle,triangle",1,,2,0,0.577715924999211,0.6331011738226826,1.261412936697126,1.5,0.8323221699278055,1.0058648280071938,2.0,938.0433972999454,938.5469651003368,939.6931986003183,941.4645871003158,943.4779672999866,944.8272673003376,946.3410031003878,946.8501057000831
run3,001,61,ABA,circle,triangle,"circle,triangle,circle",ABA,triangle,rectangle,"triangle,rectangle,triangle",1,,1,1,0.29631549999976414,1.1150109576046048,0.8630843086856651,1.5,0.8875906120684975,0.9438674958820228,2.0,952.4500808999874,952.9535316000693,954.5762733002193,955.9486459000036,957.9641121001914,959.3602136000991,960.8110087001696,961.3202033000998
run3,001,62,ABA,circle,rectangle,"circle,rectangle,circle",ABA,circle,rectangle,"circle,rectangle,circle",1,,1,1,0.5303833699990719,1.084052616699115,1.12876168193679,1.5,0.849384077512858,1.095343617954947,2.0,966.6412830003537,967.1453927000985,968.7426498001441,970.3787497002631,972.3874229001813,973.7501861001365,975.3583567002788,975.8672436000779
run3,001,63,ABB,triangle,rectangle,"triangle,rectangle,rectangle",ABB,rectangle,circle,"rectangle,circle,circle",1,,1,1,0.45889484500003164,0.8681237340984498,1.1701526225406598,1.5,1.1735740021621883,0.8589011990313552,2.0,981.4165179999545,981.9201620002277,983.3077914002351,984.9911947003566,987.0044734999537,988.6925782002509,990.0613498999737,990.565643100068
run3,001,64,ABA,triangle,circle,"triangle,circle,triangle",ABA,triangle,rectangle,"triangle,rectangle,triangle",1,,1,1,0.38289955999971426,1.064157943870129,0.8277850208770933,1.5,1.0880384696688417,1.3078058440644438,2.0,996.0436188001186,996.5520048001781,998.1256788000464,999.469087800011,1001.4805544000119,1003.0809834003448,1004.9005833002739,1005.408984400332
run3,001,65,ABB,circle,rectangle,"circle,rectangle,rectangle",other,circle,rectangle,"circle,rectangle,triangle",0,random,2,1,0.2849864299996625,0.7592019541131232,0.7547789527741748,1.5,1.2294459796785477,1.000958350243773,2.0,1010.8099464001134,1011.3135234001093,1012.5843724999577,1013.8459871001542,1015.8574888999574,1017.5972856003791,1019.1065650000237,1019.6153168003075
run3,001,66,ABA,star,triangle,"star,triangle,star",ABA,rectangle,circle,"rectangle,circle,rectangle",1,,1,1,0.27800628499971936,0.9397972788083682,0.7904072906403293,1.5,1.206158747634698,0.7586641475685779,2.0,1024.9165175003,1025.420339500066,1026.8681037002243,1028.1703564999625,1030.1833118000068,1031.901801300235,1033.1671731001697,1033.6717684003524
run3,001,67,ABB,rectangle,circle,"rectangle,circle,circle",other,triangle,star,"triangle,star,circle",0,random,2,1,0.6434332250000807,1.0281599790239557,1.0052238883934483,1.5,0.6995608412023004,1.0525236183650628,2.0,1038.9714141003788,1039.47491180012,1041.0170450001024,1042.5374703002162,1044.549122299999,1045.7562079001218,1047.3185269003734,1047.8229851000942
run3,001,68,ABB,triangle,circle,"triangle,circle,circle",ABA,circle,rectangle,"circle,rectangle,circle",0,rule_order,2,1,0.5801739699991231,0.913856301682589,1.5143653236559151,1.5,0.7285610657362542,1.012665663304054,2.0,1053.4902493003756,1053.9938815999776,1055.4246465000324,1057.4571374002844,1059.472615700215,1060.7151136002503,1062.2357920003124,1062.7397682000883
run3,001,69,ABA,star,rectangle,"star,rectangle,star",other,rectangle,circle,"rectangle,circle,star",0,random,2,1,0.6278028649994667,0.6196269774093744,0.8072603395582729,1.5,1.1481040789171097,0.8974078245337027,2.0,1068.3334515001625,1068.8378266999498,1069.9670429001562,1071.2819668003358,1073.2933771000244,1074.9580363002606,1076.3668193002231,1076.8708590003662
run3,001,70,ABB,rectangle,star,"rectangle,star,star",ABB,rectangle,triangle,"rectangle,triangle,triangle",1,,1,1,0.24029090499971062,1.164232843980082,1.0897562765339919,1.5,0.9355541529576533,1.382523984767178,2.0,1082.5195729001425,1083.0230886000209,1084.6970544001088,1086.3017458003014,1088.318313300144,1089.7665478000417,1091.6665254002437,1092.1714033000171
run3,001,71,ABA,star,circle,"star,circle,star",other,circle,star,"circle,star,triangle",0,random,2,1,0.10901348999959737,1.1456633058937729,1.39036206422693,1.5,0.9551477550075105,0.7328323914926069,2.0,1097.4395801001228,1097.9434230001643,1099.5976399001665,1101.5036933002993,1103.518639900256,1104.986516200006,1106.2331673000008,1106.7375904000364
